,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
133,176684,USB-C Charging Cable,1,11.95,4/17/2019 0:51,"293 Washington St, Los Angeles, CA 90001"
134,176685,34in Ultrawide Monitor,1,379.99,4/23/2019 22:53,"114 10th St, New York City, NY 10001"
135,176686,Wired Headphones,1,11.99,4/17/2019 15:17,"892 10th St, Austin, TX 73301"
136,176687,Macbook Pro Laptop,1,1700,4/30/2019 10:26,"121 Wilson St, Los Angeles, CA 90001"
137,176688,Flatscreen TV,1,300,4/20/2019 18:25,"229 Church St, San Francisco, CA 94016"
138,176689,Bose SoundSport Headphones,1,99.99,4/24/2019 17:15,"659 Lincoln St, New York City, NY 10001"
139,176689,AAA Batteries (4-pack),2,2.99,4/24/2019 17:15,"659 Lincoln St, New York City, NY 10001"
140,176690,20in Monitor,1,109.99,4/4/2019 18:33,"873 Sunset St, San Francisco, CA 94016"
141,176691,AAA Batteries (4-pack),1,2.99,4/12/2019 11:57,"991 Lincoln St, Los Angeles, CA 90001"
142,176692,Wired Headphones,1,11.99,4/8/2019 18:21,"290 Forest St, San Francisco, CA 94016"
143,176693,AA Batteries (4-pack),1,3.84,4/22/2019 9:00,"252 Walnut St, San Francisco, CA 94016"
144,176694,USB-C Charging Cable,1,11.95,4/5/2019 20:46,"985 Washington St, Atlanta, GA 30301"
145,176695,AA Batteries (4-pack),2,3.84,4/12/2019 20:50,"709 Lake St, Seattle, WA 98101"
146,176696,iPhone,1,700,4/7/2019 12:41,"343 Johnson St, New York City, NY 10001"
147,176697,Wired Headphones,1,11.99,4/20/2019 22:38,"675 Center St, New York City, NY 10001"
148,176698,Bose SoundSport Headphones,1,99.99,4/2/2019 16:15,"232 Lakeview St, San Francisco, CA 94016"
149,176699,Bose SoundSport Headphones,1,99.99,4/28/2019 18:04,"49 Jefferson St, Boston, MA 02215"
150,176700,34in Ultrawide Monitor,1,379.99,4/7/2019 23:10,"967 Walnut St, Dallas, TX 75001"
151,176701,USB-C Charging Cable,1,11.95,4/11/2019 13:05,"128 Church St, Austin, TX 73301"
152,176702,AA Batteries (4-pack),1,3.84,4/23/2019 19:44,"896 Sunset St, Seattle, WA 98101"
153,176703,20in Monitor,1,109.99,4/17/2019 10:00,"748 Washington St, New York City, NY 10001"
154,176704,AA Batteries (4-pack),2,3.84,4/17/2019 10:00,"909 Center St, Seattle, WA 98101"
155,176705,Lightning Charging Cable,2,14.95,4/6/2019 9:38,"503 8th St, Austin, TX 73301"
156,176706,Lightning Charging Cable,1,14.95,4/13/2019 13:32,"309 South St, New York City, NY 10001"
157,176707,Apple Airpods Headphones,1,150,4/13/2019 10:34,"408 Center St, Portland, OR 97035"
158,176708,Wired Headphones,1,11.99,4/28/2019 23:03,"542 Ridge St, New York City, NY 10001"
159,176709,AA Batteries (4-pack),1,3.84,4/24/2019 14:17,"971 Church St, Dallas, TX 75001"
160,176710,20in Monitor,2,109.99,4/7/2019 10:00,"848 West St, Dallas, TX 75001"
161,176711,Flatscreen TV,1,300,4/30/2019 10:58,"796 River St, Dallas, TX 75001"
162,176712,Google Phone,1,600,4/20/2019 5:21,"910 Washington St, San Francisco, CA 94016"
163,176713,Wired Headphones,1,11.99,4/21/2019 10:48,"498 Walnut St, San Francisco, CA 94016"
164,176714,USB-C Charging Cable,1,11.95,4/26/2019 23:34,"303 Spruce St, Los Angeles, CA 90001"
165,176715,Apple Airpods Headphones,1,150,4/27/2019 16:43,"258 Jefferson St, San Francisco, CA 94016"
166,176716,Wired Headphones,1,11.99,4/24/2019 14:43,"794 7th St, Los Angeles, CA 90001"
167,176717,Apple Airpods Headphones,1,150,4/19/2019 10:34,"490 Lakeview St, Atlanta, GA 30301"
168,176718,Lightning Charging Cable,1,14.95,4/22/2019 19:14,"672 Sunset St, Los Angeles, CA 90001"
169,176719,Flatscreen TV,1,300,4/27/2019 13:07,"602 Hickory St, Boston, MA 02215"
170,176720,Lightning Charging Cable,1,14.95,4/21/2019 10:35,"556 South St, Portland, OR 97035"
171,176721,AAA Batteries (4-pack),1,2.99,4/26/2019 21:08,"469 7th St, San Francisco, CA 94016"
172,176722,27in 4K Gaming Monitor,1,389.99,4/1/2019 10:57,"209 14th St, New York City, NY 10001"
173,176723,27in 4K Gaming Monitor,1,389.99,4/19/2019 21:31,"613 12th St, Portland, OR 97035"
174,176724,Lightning Charging Cable,1,14.95,4/26/2019 20:59,"34 12th St, San Francisco, CA 94016"
175,176725,AA Batteries (4-pack),2,3.84,4/15/2019 14:33,"630 14th St, San Francisco, CA 94016"
176,176726,USB-C Charging Cable,1,11.95,4/13/2019 18:14,"979 8th St, Los Angeles, CA 90001"
177,176727,Lightning Charging Cable,1,14.95,4/14/2019 14:26,"218 Hickory St, Los Angeles, CA 90001"
178,176728,Lightning Charging Cable,1,14.95,4/21/2019 7:38,"516 Park St, Atlanta, GA 30301"
179,176729,USB-C Charging Cable,1,11.95,4/24/2019 9:57,"637 9th St, Seattle, WA 98101"
180,176730,Bose SoundSport Headphones,1,99.99,4/17/2019 8:27,"403 Ridge St, New York City, NY 10001"
181,176731,AAA Batteries (4-pack),2,2.99,4/21/2019 16:17,"36 Lincoln St, San Francisco, CA 94016"
182,176732,iPhone,1,700,4/23/2019 9:33,"504 Wilson St, Dallas, TX 75001"
183,176733,20in Monitor,1,109.99,4/11/2019 13:31,"575 Hickory St, San Francisco, CA 94016"
184,176734,Apple Airpods Headphones,1,150,4/3/2019 22:13,"611 Jackson St, New York City, NY 10001"
185,176735,27in FHD Monitor,1,149.99,4/16/2019 23:52,"802 Ridge St, Austin, TX 73301"
186,176736,AA Batteries (4-pack),1,3.84,4/17/2019 11:48,"421 2nd St, Los Angeles, CA 90001"
187,176737,Apple Airpods Headphones,1,150,4/7/2019 1:28,"109 Center St, Los Angeles, CA 90001"
188,176738,AA Batteries (4-pack),1,3.84,4/3/2019 13:17,"661 Center St, San Francisco, CA 94016"
189,176739,34in Ultrawide Monitor,1,379.99,4/5/2019 17:38,"730 6th St, Austin, TX 73301"
190,176739,Google Phone,1,600,4/5/2019 17:38,"730 6th St, Austin, TX 73301"
191,176740,Bose SoundSport Headphones,1,99.99,4/24/2019 15:10,"699 Washington St, Dallas, TX 75001"
192,176741,USB-C Charging Cable,1,11.95,4/29/2019 18:49,"990 Ridge St, San Francisco, CA 94016"
193,176742,Wired Headphones,1,11.99,4/17/2019 9:54,"115 Forest St, Los Angeles, CA 90001"
194,176743,27in 4K Gaming Monitor,1,389.99,4/1/2019 9:17,"570 11th St, Atlanta, GA 30301"
195,176744,Lightning Charging Cable,1,14.95,4/14/2019 19:59,"937 Maple St, Los Angeles, CA 90001"
196,176745,Wired Headphones,1,11.99,4/24/2019 9:23,"461 Adams St, Los Angeles, CA 90001"
197,176746,27in 4K Gaming Monitor,1,389.99,4/8/2019 19:04,"638 Park St, Seattle, WA 98101"
198,176747,Macbook Pro Laptop,1,1700,4/27/2019 15:04,"645 7th St, San Francisco, CA 94016"
199,176748,Flatscreen TV,1,300,4/24/2019 15:28,"339 13th St, Boston, MA 02215"
200,176749,ThinkPad Laptop,1,999.99,4/26/2019 7:55,"322 Adams St, Seattle, WA 98101"
201,176750,AA Batteries (4-pack),1,3.84,4/13/2019 23:52,"255 Cedar St, Austin, TX 73301"
202,176751,AAA Batteries (4-pack),1,2.99,4/18/2019 13:01,"258 4th St, San Francisco, CA 94016"
203,176752,AA Batteries (4-pack),1,3.84,4/13/2019 23:59,"665 Wilson St, San Francisco, CA 94016"
204,176753,USB-C Charging Cable,1,11.95,4/1/2019 23:07,"496 Adams St, Atlanta, GA 30301"
205,176754,34in Ultrawide Monitor,1,379.99,4/2/2019 17:07,"288 Forest St, Los Angeles, CA 90001"
206,176755,27in 4K Gaming Monitor,1,389.99,4/9/2019 16:21,"825 Madison St, Seattle, WA 98101"
207,176756,27in FHD Monitor,1,149.99,4/5/2019 17:06,"348 Lake St, New York City, NY 10001"
208,176757,AA Batteries (4-pack),1,3.84,4/11/2019 20:28,"79 Hickory St, Portland, OR 97035"
209,176758,34in Ultrawide Monitor,1,379.99,4/18/2019 21:26,"166 Highland St, San Francisco, CA 94016"
210,176759,Lightning Charging Cable,1,14.95,4/6/2019 12:46,"864 Main St, Los Angeles, CA 90001"
211,176760,Wired Headphones,1,11.99,4/2/2019 20:32,"813 Highland St, San Francisco, CA 94016"
212,176761,Apple Airpods Headphones,1,150,4/26/2019 20:00,"830 2nd St, San Francisco, CA 94016"
213,176762,AA Batteries (4-pack),1,3.84,4/18/2019 14:06,"977 1st St, Seattle, WA 98101"
214,176763,USB-C Charging Cable,1,11.95,4/25/2019 13:36,"638 Johnson St, San Francisco, CA 94016"
215,176764,Wired Headphones,1,11.99,4/16/2019 19:52,"652 Center St, Atlanta, GA 30301"
216,176765,USB-C Charging Cable,1,11.95,4/14/2019 20:44,"729 Ridge St, San Francisco, CA 94016"
217,176766,AA Batteries (4-pack),2,3.84,4/21/2019 19:52,"84 Johnson St, Boston, MA 02215"
218,176767,27in 4K Gaming Monitor,1,389.99,4/9/2019 14:18,"205 4th St, Atlanta, GA 30301"
219,176768,Wired Headphones,1,11.99,4/4/2019 0:03,"643 Spruce St, Los Angeles, CA 90001"
220,176769,AA Batteries (4-pack),1,3.84,4/29/2019 14:14,"206 10th St, San Francisco, CA 94016"
221,176770,Wired Headphones,1,11.99,4/8/2019 17:38,"345 Church St, San Francisco, CA 94016"
222,176771,Lightning Charging Cable,1,14.95,4/24/2019 17:40,"403 11th St, New York City, NY 10001"
223,176772,AA Batteries (4-pack),1,3.84,4/10/2019 21:48,"426 14th St, New York City, NY 10001"
224,176773,AAA Batteries (4-pack),2,2.99,4/25/2019 20:07,"30 9th St, Portland, ME 04101"
225,176774,Lightning Charging Cable,1,14.95,4/25/2019 15:06,"372 Church St, Los Angeles, CA 90001"
226,176774,USB-C Charging Cable,1,11.95,4/25/2019 15:06,"372 Church St, Los Angeles, CA 90001"
227,176775,USB-C Charging Cable,2,11.95,4/1/2019 20:56,"975 Forest St, San Francisco, CA 94016"
228,176776,Bose SoundSport Headphones,1,99.99,4/24/2019 23:28,"613 Washington St, Seattle, WA 98101"
229,176777,Apple Airpods Headphones,1,150,4/14/2019 16:53,"163 Jackson St, Portland, OR 97035"
230,176778,34in Ultrawide Monitor,1,379.99,4/12/2019 17:46,"201 Madison St, San Francisco, CA 94016"
231,176779,27in FHD Monitor,1,149.99,4/4/2019 16:46,"351 Park St, Atlanta, GA 30301"
232,176780,Lightning Charging Cable,1,14.95,4/18/2019 23:51,"52 Walnut St, New York City, NY 10001"
233,176781,iPhone,1,700,4/3/2019 7:37,"976 Hickory St, Dallas, TX 75001"
234,176781,Lightning Charging Cable,1,14.95,4/3/2019 7:37,"976 Hickory St, Dallas, TX 75001"
235,176782,Apple Airpods Headphones,1,150,4/22/2019 13:42,"993 13th St, San Francisco, CA 94016"
236,176783,Apple Airpods Headphones,1,150,4/5/2019 11:40,"926 North St, San Francisco, CA 94016"
237,176784,AAA Batteries (4-pack),1,2.99,4/8/2019 10:14,"725 Madison St, Los Angeles, CA 90001"
238,176785,Bose SoundSport Headphones,1,99.99,4/3/2019 15:39,"533 Ridge St, Los Angeles, CA 90001"
239,176786,20in Monitor,1,109.99,4/6/2019 16:40,"701 North St, San Francisco, CA 94016"
240,176787,Google Phone,1,600,4/14/2019 10:10,"180 Pine St, Los Angeles, CA 90001"
241,176788,Bose SoundSport Headphones,1,99.99,4/15/2019 4:39,"200 North St, New York City, NY 10001"
242,176789,Lightning Charging Cable,1,14.95,4/21/2019 20:15,"990 Meadow St, San Francisco, CA 94016"
243,176790,AAA Batteries (4-pack),1,2.99,4/28/2019 12:07,"689 9th St, Austin, TX 73301"
244,176791,Google Phone,1,600,4/21/2019 11:43,"908 Jackson St, Los Angeles, CA 90001"
245,176792,27in 4K Gaming Monitor,1,389.99,4/30/2019 19:29,"772 11th St, Atlanta, GA 30301"
246,176793,Wired Headphones,1,11.99,4/17/2019 17:09,"147 South St, San Francisco, CA 94016"
247,176794,Lightning Charging Cable,1,14.95,4/10/2019 21:40,"425 Adams St, Dallas, TX 75001"
248,176795,Wired Headphones,1,11.99,4/13/2019 11:46,"360 Center St, San Francisco, CA 94016"
249,176796,Bose SoundSport Headphones,1,99.99,4/7/2019 8:44,"5 2nd St, Los Angeles, CA 90001"
250,176797,Google Phone,1,600,4/21/2019 8:54,"923 Elm St, Los Angeles, CA 90001"
251,176797,Bose SoundSport Headphones,1,99.99,4/21/2019 8:54,"923 Elm St, Los Angeles, CA 90001"
252,176797,Wired Headphones,1,11.99,4/21/2019 8:54,"923 Elm St, Los Angeles, CA 90001"
253,176798,iPhone,1,700,4/6/2019 10:31,"445 Jefferson St, Atlanta, GA 30301"
254,176799,Wired Headphones,1,11.99,4/3/2019 14:24,"452 Spruce St, Portland, OR 97035"
255,176800,Lightning Charging Cable,1,14.95,4/9/2019 11:35,"766 West St, Atlanta, GA 30301"
256,176801,Vareebadd Phone,1,400,4/28/2019 18:52,"125 North St, San Francisco, CA 94016"
257,176802,AA Batteries (4-pack),1,3.84,4/29/2019 17:33,"627 12th St, Boston, MA 02215"
258,176803,AA Batteries (4-pack),1,3.84,4/1/2019 23:00,"649 7th St, Austin, TX 73301"
259,176804,Bose SoundSport Headphones,1,99.99,4/21/2019 21:56,"690 Walnut St, Seattle, WA 98101"
260,176805,Google Phone,1,600,4/1/2019 15:50,"91 Lincoln St, Portland, OR 97035"
261,176805,USB-C Charging Cable,1,11.95,4/1/2019 15:50,"91 Lincoln St, Portland, OR 97035"
262,176806,Macbook Pro Laptop,1,1700,4/22/2019 13:26,"197 Cherry St, Austin, TX 73301"
263,176807,USB-C Charging Cable,1,11.95,4/21/2019 17:13,"758 Hill St, Seattle, WA 98101"
264,176808,Google Phone,1,600,4/28/2019 18:03,"933 Meadow St, San Francisco, CA 94016"
